Reference,Reference key,Element,A,B
Nielsen et al. (2017),Nielsen2017,Mg,-10000,-35000
Nielsen et al. (2017),Nielsen2017,Ti,-32500,-15100
Nielsen et al. (2017),Nielsen2017,Sr,-25000,25500
Nielsen et al. (2017),Nielsen2017,Ba,-35100,10000
Bindeman et al. (1998),Bindeman1998,Mg,-26100,-25300
Bindeman et al. (1998),Bindeman1998,Ti,-28900,-15400
Bindeman et al. (1998),Bindeman1998,Rb,-40000,-15100
Bindeman et al. (1998),Bindeman1998,Sr,-30400,28500
Bindeman et al. (1998),Bindeman1998,Ba,-55000,19100
Blundy and Wood (1991),Blundy1991,Sr,-26700,26800
Blundy and Wood (1991),Blundy1991,Ba,-38200,10200
Drake et al. (1972),Drake1972,Sr,-18900,21500
Drake et al. (1972),Drake1972,Ba,-32000,7400
