Distance (um),An (mol%),SiO2 (wt%),Al2O3 (wt%),FeO (wt%),CaO (wt%),Na2O (wt%),K2O (wt%),Na (ppm),Mg (ppm),Al (ppm),Si (ppm),K (ppm),Ti (ppm),Fe (ppm),Rb (ppm),Sr (ppm),Ba (ppm),La (ppm),Ce (ppm),Nd (ppm),Eu (ppm),Initial Mg (ppm),Initial Sr (ppm)
5,22.89690635,62.42111833,23.666405,1.029289667,4.747778667,8.347124,0.743504333,80849,49.29,118555,290758,6852,126.25,1351.54,1.4,870,874,17.8,19.65,4.35,2.17,49.2941594,870
15,22.51791619,62.66227967,23.69358267,0.957674,4.690565,8.435650667,0.732985,83570,46.06,123208,282057,6812,121.85,1505.48,1.43,905,944,16.88,19.03,3.96,2.43,49.2941594,870
25,22.04219082,62.12007133,23.55965733,0.962863,4.510365667,8.342818667,0.719794333,79751,46.67,115902,276015,6457,122.05,1431.64,1.32,875,895,16.37,18.19,3.06,2.1,49.2941594,870
35,22.3652893,62.08116033,23.59150967,1.000222333,4.594876,8.334943333,0.727895667,80005,46.83,113568,274509,6303,120.79,1324.15,1.56,865,873,15.65,18.23,3.41,2.16,49.2941594,870
45,22.95092122,61.593567,23.53807633,0.876316,4.708096333,8.287510667,0.679291,85878,52.85,127150,303997,7090,133.74,1557.39,1.91,940,1007,17.85,20.03,4.15,2.49,49.2941594,870
55,21.98318802,62.05069367,23.345328,0.955318333,4.512559333,8.378464667,0.717293333,82623,50.17,116780,286369,6644,122.96,1423.93,1.6,905,956,17.05,18.14,4.15,2.24,49.2941594,870
65,21.57011351,61.91123833,23.115804,0.930586,4.461197,8.464657333,0.759093,80699,46.29,114757,276925,6478,113.32,1296.54,1.5,830,924,16.22,18.12,3.03,2.41,49.2941594,870
75,21.35872715,62.07153567,23.21931033,0.794009333,4.400712333,8.45924,0.753914,75790,47.42,109632,265510,6103,115.04,1272.16,1.13,738,737,15.37,19.18,4.43,2.18,49.2941594,870
85,22.26711179,61.68224333,23.51412633,0.593083,4.606953667,8.423491667,0.703939,78969,49.21,114959,281547,6005,115.92,1256.86,1.02,621,683,15.62,18.46,4.31,2.08,49.2941594,870
95,22.60812567,61.64280467,23.275773,0.630014333,4.641458667,8.342324333,0.666074,77325,49.89,113042,276272,5613,122.02,1269.17,1.13,508,617,14.14,17.8,3.89,2.01,49.2941594,870
105,23.357855,61.19068633,23.65637033,0.842767667,4.818256,8.319453667,0.634115,81217,55.36,114380,285973,5527,145.69,1174.3,0.92,619,661,16.62,19.17,4.41,2.37,49.2941594,870
115,23.9442973,60.92687233,23.86158633,0.809818667,4.924937333,8.245470333,0.606882667,78905,53.71,112889,286054,5300,159.82,1203.68,0.78,833,724,16.31,19.95,4.34,2.49,49.2941594,870
